Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Arjona, Kyle",Southland,New Orleans,Jr,P,,,46,203,23.15,4.43,18.72,0.277,0.315,0.391,0.304,26.11,16.26,3.08
"Armstrong, Caleb",Sun Belt,Louisiana,So,P,,,3.1,22,18.18,27.27,-9.09,0.25,0.591,0.25,0.439,22.73,0,10.24
"Armstrong, Trevor",Summit League,Fort Wayne,Fr,P,,,20,101,8.91,11.88,-2.97,0.301,0.366,0.398,0.329,24.75,23.76,5.35
"Armstrong, Walker",Big West,CSUN,Jr,P,,,55.1,234,17.95,8.12,9.83,0.255,0.333,0.363,0.308,32.48,14.53,3.98
"Arneth, Anthony",Metro Atlantic,Rider,Jr,P,,,16.2,88,15.91,11.36,4.55,0.324,0.42,0.563,0.413,9.09,29.55,7.22
"Arnold, Austin",Ivy League,Cornell,Jr,P,,,2.2,13,23.08,7.69,15.39,0.2,0.308,0.2,0.244,7.69,30.77,3.15
"Arnold, Hayden",Sun Belt,Little Rock,Fr,P,,,37.1,149,24.16,10.07,14.09,0.178,0.255,0.264,0.232,25.5,21.48,2.77
"Arnold, Josh",Metro Atlantic,Fairfield,So,P,,,35.1,155,19.35,11.61,7.74,0.25,0.348,0.348,0.313,20.65,23.87,4.34
"Arnone, Riley",Big South,Winthrop,Sr,P,,,33.2,152,13.16,11.18,1.98,0.281,0.355,0.445,0.342,25.66,21.71,5.53
"Arntsen, Steve",Metro Atlantic,Manhattan,Sr,P,,,20.2,98,16.33,9.18,7.15,0.302,0.367,0.547,0.383,21.43,23.47,5.62
"Ash, Konnor",SEC,Missouri,Fr,P,,,9,43,20.93,16.28,4.65,0.361,0.465,0.639,0.466,11.63,20.93,7.81
"Ashkinos, Jacob",Big 12,Baylor,So,P,,,12.2,67,17.91,14.93,2.98,0.345,0.448,0.545,0.422,8.96,26.87,4.95
"Ashur, Andrew",Atlantic 10,Davidson,Jr,P,,,7,39,5.13,23.08,-17.95,0.286,0.436,0.429,0.378,20.51,25.64,8.29
"Ashworth, Colin",Big West,Hawaii,Sr,P,,,7.2,32,28.13,6.25,21.88,0.214,0.281,0.25,0.242,21.88,18.75,1.9
"Assante, Anthony",Metro Atlantic,Saint Peters,Sr,P,,,13.1,80,20,12.5,7.5,0.379,0.5,0.606,0.475,11.25,20,6.12
"Aubin, Casey",Atlantic 10,Massachusetts,Jr,P,,,21,84,26.19,9.52,16.67,0.194,0.262,0.292,0.243,19.05,23.81,2.81
"Aufiero, Matt",Northeast,Sacred Heart,Fr,P,,,23,97,12.37,4.12,8.25,0.284,0.33,0.364,0.303,19.59,32.99,3.02
"Aungst, Justin",Atlantic 10,Saint Josephs,Sr,P,,,41,174,21.26,5.75,15.51,0.247,0.305,0.377,0.294,23.56,21.84,3.07
"Ausley, Landon",Southland,Sam Houston St.,Fr,P,,,14.1,62,38.71,20.97,17.74,0.125,0.306,0.146,0.236,12.9,16.13,2.51
"Austin, Logan",Sun Belt,UT Arlington,Jr,P,,,34.1,152,19.08,10.53,8.55,0.248,0.329,0.318,0.289,28.95,15.79,3.41
"Ausua, Miguel",Summit League,Oral Roberts,Sr,P,2018,876,60,262,16.41,8.4,8.01,0.262,0.328,0.436,0.325,23.28,23.66,5.01
"Autin, Zach",Southland,Nicholls St.,So,P,,,13,68,13.24,19.12,-5.88,0.245,0.382,0.327,0.319,17.65,23.53,4.99
"Avventino, Brenden",Big West,UC Riverside,Fr,UT,,,1.1,9,0,11.11,-11.11,0.5,0.556,1,0.621,11.11,33.33,5.87
"Ay, Bobby",Big West,Cal Poly,Jr,P,,,2.1,10,20,10,10,0.222,0.3,0.222,0.245,50,0,2.67
"Ayala, A.G.",Southland,A&M-Corpus Chris,Fr,P,,,26,112,26.79,12.5,14.29,0.177,0.295,0.25,0.256,20.54,23.21,3.19
"Ayer, Brett",Colonial,James Madison,So,P,,,13.2,55,38.18,16.36,21.82,0.091,0.236,0.091,0.177,9.09,25.45,2.01
"Ayers, Bryan",Sun Belt,Arkansas St.,Sr,P,,,10,51,25.49,13.73,11.76,0.286,0.392,0.643,0.426,11.76,21.57,8.15
"Baar, Keegan",Big 10,Michigan State,Sr,P,,,4,22,4.55,4.55,0,0.368,0.409,0.842,0.497,13.64,36.36,10.65
"Baayoun, Zak",Big West,Long Beach St.,So,P,,,75.1,323,19.81,6.19,13.62,0.269,0.316,0.401,0.309,23.84,22.91,3.23
"Bach, Carter",ACC,Wake Forest,So,P,,,18.1,95,25.26,17.89,7.37,0.278,0.421,0.486,0.388,12.63,16.84,4.53
"Bachman, Marc",Ivy League,Dartmouth,Sr,P,,,7.1,37,16.22,5.41,10.81,0.485,0.514,0.758,0.527,24.32,5.41,6.39
"Backhus, Kyle",Southland,Sam Houston St.,So,P,,,10.1,57,21.05,28.07,-7.02,0.167,0.456,0.306,0.37,15.79,15.79,8
"Backman, Trevor",Metro Atlantic,Marist,Fr,P,,,14.2,70,15.71,11.43,4.28,0.281,0.343,0.386,0.31,17.14,25.71,3.29
"Backofen, Kyle",Sun Belt,La.-Monroe,So,P,,,23.2,124,12.1,6.45,5.65,0.409,0.46,0.709,0.486,14.52,25.81,8.45
"Bader, Ryan",Big 10,Northwestern,Fr,P,,,19.1,101,10.89,14.85,-3.96,0.35,0.465,0.463,0.407,21.78,18.81,5.66
"Baduel, Raul",Southwestern,Grambling,Sr,P,,,51.1,230,10.87,9.13,1.74,0.301,0.4,0.418,0.363,26.09,22.61,5.12
"Baeza, Alex",Big West,Hawaii,Fr,INF,,,0.1,2,0,100,-100,NA,1,NA,0.691,0,0,63.15
"Bafus, Curtis",Atlantic 10,VCU,Jr,P,,,18.2,88,12.5,14.77,-2.27,0.254,0.364,0.358,0.317,28.41,15.91,5.13
