Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Alvarado, Luis",Big 10,Nebraska,Sr,OF,2018,511,187,0.268,0.316,0.393,3,0.125,1,1,16.58,6.95,-9.63,0.309,0.31,-4,19
"Alvarez, Andres",Pac 12,Washington St.,Jr,INF,,,154,0.299,0.357,0.396,1,0.097,4,5,11.69,9.74,-1.95,0.336,0.335,0,19
"Alvarez, Danny",ACC,Pittsburgh,Fr,INF,,,4,0,0.25,0,0,0,0,0,0,25,25,0,0.173,-1,0
"Alviarez, Carlos",Mid-Eastern,Coppin St.,Jr,OF,,,24,0.15,0.292,0.15,0,0,0,0,29.17,12.5,-16.67,0.231,0.226,-2,1
"Amanau, Rafael",Atlantic 10,La Salle,Sr,OF,,,5,0.2,0.2,0.2,0,0,0,0,80,0,-80,1,0.176,-1,0
"Amaral, Daniel",Pac 12,UCLA,Jr,OF,2018,414,182,0.309,0.39,0.401,1,0.092,15,17,13.19,9.34,-3.85,0.354,0.353,3,25
"Amditis, Michael",ACC,Miami (FL),So,C,,,25,0.273,0.32,0.318,0,0.045,0,0,24,8,-16,0.353,0.281,-1,2
"Ames, Nick",Mountain West,UNLV,Jr,INF,2018,435,177,0.29,0.345,0.525,10,0.235,0,0,26.55,7.34,-19.21,0.349,0.369,5,27
"Amion, Diandre",Conference USA,FIU,Jr,OF,,,16,0,0.125,0,0,0,0,0,31.25,6.25,-25,0,0.094,-3,-1
"Ammons, Jordan",Southern,Mercer,Fr,OF,,,40,0.324,0.35,0.459,1,0.135,3,3,12.5,5,-7.5,0.355,0.353,1,5
"Ammons, Justin",SEC,Tennessee,So,OF,,,115,0.234,0.374,0.298,0,0.064,4,5,20.87,10.43,-10.44,0.314,0.315,-2,12
"Amos, Alex",ACC,Pittsburgh,So,INF,,,98,0.278,0.388,0.316,0,0.038,3,5,18.37,15.31,-3.06,0.355,0.328,-1,11
"Anatasia, Michael",ASUN,NJIT,Jr,OF,,,99,0.157,0.273,0.241,1,0.084,3,4,28.28,12.12,-16.16,0.222,0.245,-8,5
