Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,Pitches,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,ERA,FIP
"Anderson, Landon",Big West,Cal St. Fullerton,Fr,P,,,10,49,198,10.2,12.24,-2.04,0.293,0.367,0.439,0.346,16.33,32.65,2.7,6.55
"Anderson, Luke",SEC,Missouri,Fr,P,,,10,56,190,17.86,16.07,1.79,0.318,0.446,0.455,0.396,30.36,5.36,8.1,5.75
"Anderson, Mark",Patriot,Lafayette,So,P,,,53.1,265,611,18.49,14.72,3.77,0.3,0.404,0.418,0.359,19.25,18.49,7.93,3.98
"Anderson, Mason",Colonial,Towson,Jr,P,,,19.1,96,303,12.5,14.58,-2.08,0.282,0.417,0.41,0.37,25,20.83,6.05,5.4
"Anderson, Nick",Big West,UC Irvine,Sr,P,,,28.1,133,491,18.8,9.02,9.78,0.296,0.368,0.409,0.339,19.55,22.56,4.76,3.43
"Anderson, Reid",Ivy League,Brown,Sr,P,2018,1207,13.2,71,161,16.9,4.23,12.67,0.429,0.479,0.683,0.487,11.27,22.54,9.88,5.87
"Anderson, Ryan",Mid-Eastern,Florida A&M,Sr,P,,,62.1,304,255,12.83,8.88,3.95,0.357,0.414,0.578,0.415,22.04,20.72,7.65,5.74
"Anderson, Ryan",Mountain West,Nevada,So,P,,,35.1,169,653,24.26,10.06,14.2,0.287,0.379,0.392,0.34,22.49,13.61,5.86,3.15
"Anderson, Tyler",Mid American,Bowling Green,Sr,P,,,54.2,272,501,15.81,12.5,3.31,0.345,0.449,0.439,0.392,17.28,20.59,8.07,4.29
"Anderson, Tyler",OVC,Murray St.,Sr,P,,,18.1,95,372,28.42,18.95,9.47,0.303,0.432,0.447,0.387,16.84,10.53,9.82,4.58
"Anderson, William",Mid American,Northern Ill.,Jr,P,,,43,214,391,20.09,7.48,12.61,0.339,0.416,0.421,0.369,17.76,18.69,6.07,3.64
"Andrew, Adam",Big South,Charleston So.,Jr,P,,,0.1,8,31,12.5,37.5,-25,0.8,0.875,0.8,0.698,0,0,108,73.15
"Andrews, Brandon",Southland,Nicholls St.,Fr,P,,,16.2,72,242,12.5,5.56,6.94,0.297,0.347,0.609,0.394,12.5,37.5,5.4,7.16
"Andrews, Clayton",Big West,Long Beach St.,Jr,OF,2018,515,99.2,396,1493,29.8,4.29,25.51,0.213,0.26,0.298,0.246,20.71,22.22,1.99,2.05
"Andrews, Josh",Western Athletic,Grand Canyon,Jr,P,,,20.2,97,398,29.9,17.53,12.37,0.189,0.371,0.284,0.31,12.37,19.59,4.79,3.54
"Andrews, Luke",Big West,UC Santa Barbara,Jr,P,,,46.2,199,680,15.08,5.03,10.05,0.268,0.312,0.393,0.305,30.15,22.11,4.05,4.1
"Andrews, Tanner",Big 10,Purdue,Sr,P,2018,297,98,431,1398,18.1,9.51,8.59,0.271,0.343,0.354,0.309,24.83,20.65,2.94,3.63
"Andritsos, Chris",SEC,Texas A&M,So,INF,,,2,10,34,10,0,10,0.333,0.3,0.444,0.3,30,20,0,2.15
"Angel, Kyle",Colonial,Northeastern,Fr,P,,,9.1,53,167,16.98,26.42,-9.44,0.229,0.453,0.257,0.349,13.21,20.75,5.79,6.44
"Antalek, Jason",Metro Atlantic,Iona,So,P,,,13,57,202,12.28,7.02,5.26,0.288,0.351,0.385,0.324,21.05,31.58,5.54,3.22
"Anthony, Mike",Atlantic 10,La Salle,Jr,P,,,32.1,165,446,12.73,12.12,0.61,0.321,0.412,0.467,0.38,22.42,21.21,5.85,4.89
