Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Amador, Willy",Conference USA,Rice,Sr,P,,,42.2,248,15.73,14.52,1.21,0.278,0.403,0.424,0.367,20.16,23.79,6.2
"Ames, Donnie",Missouri Valley,Indiana St.,So,P,,,15,68,13.24,7.35,5.89,0.25,0.294,0.35,0.277,35.29,17.65,3.81
"Ammons, Logan",Southland,SFA,So,P,,,9.9,53,24.53,11.32,13.21,0.239,0.34,0.478,0.348,13.21,28.3,3.96
"Amone, Tristan",Metro Atlantic,Fairfield,So,P,,,5.6,33,24.24,9.09,15.15,0.286,0.364,0.321,0.309,12.12,24.24,2.43
"Anders, Taylor",Southland,Central Ark.,Jr,P,,,2.1,15,13.33,0,13.33,0.462,0.4,0.923,0.5,13.33,20,7.43
"Anderson, Aidan",Southland,McNeese,Jr,P,,,33.2,185,20,11.35,8.65,0.274,0.368,0.401,0.338,22.7,18.92,4.74
"Anderson, Austin",Mountain West,UNLV,Sr,3B,,,8,39,12.82,10.26,2.56,0.294,0.359,0.353,0.315,12.82,35.9,3.4
"Anderson, Ben",American East,Binghamton,So,P,,,14.2,76,15.79,6.58,9.21,0.231,0.316,0.385,0.306,15.79,34.21,6.1
"Anderson, Chase",Mid-Eastern,Norfolk St.,Jr,INF,,,56.7,267,18.73,9.36,9.37,0.28,0.345,0.39,0.32,24.72,20.22,3.68
"Anderson, Cody",Pac 12,Washington St.,Sr,P,,,35,163,17.18,6.75,10.43,0.277,0.356,0.348,0.315,30.67,14.72,3.55
"Anderson, Elliott",SEC,Auburn,So,P,,,12.8,70,27.14,17.14,10,0.25,0.386,0.339,0.33,18.57,14.29,3.23
"Anderson, Grant",Southland,McNeese,Jr,P,2018,628,51.6,263,18.63,8.37,10.26,0.278,0.354,0.378,0.323,23.95,20.53,3.69
"Anderson, Jack",Colonial,Hofstra,Fr,P,,,2,8,25,0,25,0.25,0.25,0.25,0.22,12.5,37.5,1.15
"Anderson, Jack",Ivy League,Princeton,Fr,P,,,6,34,11.76,14.71,-2.95,0.333,0.441,0.519,0.408,20.59,20.59,4.81
"Anderson, Jack",Missouri Valley,Illinois St.,Fr,P,,,2.2,9,0,22.22,-22.22,0.143,0.333,0.143,0.251,22.22,44.44,5.87
"Anderson, Ka'ikepono",Sun Belt,UT Arlington,Jr,P,,,22.2,100,10,6,4,0.278,0.34,0.467,0.346,21,34,5.8
"Anderson, Kyle",Northeast,Central Conn. St.,Sr,P,,,10.8,56,16.07,10.71,5.36,0.265,0.357,0.286,0.297,16.07,32.14,3.42
"Anderson, Landon",Big West,Cal St. Fullerton,Fr,P,,,5.1,25,8,16,-8,0.25,0.36,0.25,0.286,24,28,4.72
"Anderson, Luke",SEC,Missouri,Fr,P,,,3.2,21,23.81,4.76,19.05,0.389,0.429,0.444,0.377,28.57,0,1.9
"Anderson, Mark",Patriot,Lafayette,So,P,,,18.2,116,18.1,18.97,-0.87,0.344,0.457,0.522,0.416,10.34,22.41,5.89
"Anderson, Mason",Colonial,Towson,Jr,P,,,9.1,60,8.33,10,-1.67,0.396,0.467,0.642,0.468,23.33,21.67,7.21
"Anderson, Nick",Big West,UC Irvine,Sr,P,,,13.1,62,17.74,9.68,8.06,0.278,0.371,0.315,0.314,20.97,24.19,3.3
"Anderson, Reid",Ivy League,Brown,Sr,P,2018,1207,42.5,258,19.38,15.5,3.88,0.341,0.446,0.459,0.393,21.32,11.63,4.89
"Anderson, Ryan",Mid-Eastern,Florida A&M,Sr,P,,,71.2,378,6.35,10.32,-3.97,0.297,0.365,0.381,0.326,29.89,23.81,4.79
"Anderson, Ryan",Mountain West,Nevada,So,P,,,12.4,92,18.48,14.13,4.35,0.37,0.478,0.507,0.426,19.57,11.96,5.57
"Anderson, Tyler",Mid American,Bowling Green,Sr,P,,,50.2,285,12.63,15.44,-2.81,0.353,0.463,0.491,0.416,21.4,18.6,5.74
"Anderson, Tyler",OVC,Murray St.,Sr,P,,,18,110,31.82,11.82,20,0.234,0.327,0.404,0.317,15.45,18.18,3.04
"Anderson, William",Mid American,Northern Ill.,Jr,P,,,55.1,307,12.7,13.68,-0.98,0.333,0.443,0.455,0.393,23.13,17.59,5.62
"Andrew, Adam",Big South,Charleston So.,Jr,P,,,1.6,16,18.75,18.75,0,0.25,0.375,0.25,0.294,31.25,6.25,5.02
"Andrews, Brandon",Southland,Nicholls St.,Fr,P,,,5.2,24,8.33,4.17,4.16,0.391,0.417,0.739,0.483,12.5,37.5,7.95
"Andrews, Clayton",Big West,Long Beach St.,Jr,OF,2018,515,23.1,103,21.36,7.77,13.59,0.253,0.32,0.33,0.288,26.21,18.45,2.54
"Andrews, Josh",Western Athletic,Grand Canyon,Jr,P,,,10.6,84,16.67,11.9,4.77,0.403,0.5,0.493,0.433,20.24,10.71,4.75
"Andrews, Luke",Big West,UC Santa Barbara,Jr,P,,,12.1,63,4.76,9.52,-4.76,0.364,0.429,0.564,0.422,30.16,20.63,7.61
"Andrews, Tanner",Big 10,Purdue,Sr,P,2018,297,86.5,434,15.67,13.59,2.08,0.244,0.35,0.342,0.311,26.04,21.89,4.66
"Andritsos, Chris",SEC,Texas A&M,So,INF,,,0.1,3,0,0,0,0.667,0.667,0.667,0.585,33.33,0,3.15
"Angel, Kyle",Colonial,Northeastern,Fr,P,,,4,20,25,15,10,0.267,0.4,0.333,0.334,5,25,3.65
"Antalek, Jason",Metro Atlantic,Iona,So,P,,,7.6,39,7.69,7.69,0,0.306,0.359,0.333,0.31,28.21,28.21,3.54
"Anthony, Mike",Atlantic 10,La Salle,Jr,P,,,28.1,180,11.11,10,1.11,0.349,0.428,0.503,0.398,18.33,24.44,6.24
"Appel, Mike",Northeast,Central Conn. St.,Jr,P,,,32.9,181,17.68,14.36,3.32,0.25,0.376,0.326,0.32,22.1,19.89,4.51
"Applegate, Jason",Big East,Villanova,Jr,P,,,16.2,111,18.92,11.71,7.21,0.287,0.369,0.383,0.331,18.92,22.52,3.95
"Archambault, Jesse",Northeast,Mt. St. Marys,Sr,DH,,,10.7,64,7.81,18.75,-10.94,0.244,0.453,0.311,0.365,14.06,31.25,7.26
"Archer, Andy",ACC,Georgia Tech,So,P,,,18.7,94,13.83,12.77,1.06,0.241,0.34,0.418,0.329,20.21,29.79,6.62
"Arel, John",American East,Maine,Sr,P,,,29.5,152,19.74,13.16,6.58,0.279,0.375,0.434,0.352,19.08,22.37,4.57
"Arella, Tyler",Big East,Villanova,So,P,,,15.6,90,18.89,8.89,10,0.28,0.367,0.333,0.315,17.78,23.33,3.28
"Arens, Matt",Big West,Cal Poly,Fr,P,,,12.1,54,18.52,7.41,11.11,0.196,0.296,0.239,0.251,16.67,33.33,3.23
"Arguelles, Andy",Sun Belt,South Ala.,So,P,,,19.1,96,18.75,11.46,7.29,0.241,0.344,0.38,0.318,19.79,23.96,4.82
"Arias, Jaime",Mountain West,Fresno St.,Fr,P,,,15.2,74,17.57,5.41,12.16,0.295,0.351,0.541,0.366,21.62,18.92,6.44
"Arjona, Kyle",Southland,New Orleans,Jr,P,,,19.1,92,8.7,10.87,-2.17,0.286,0.38,0.416,0.349,28.26,22.83,5.71
"Armstrong, Caleb",Sun Belt,Louisiana,So,P,,,4.6,35,20,17.14,2.86,0.32,0.486,0.4,0.402,14.29,14.29,5.97
"Armstrong, Trevor",Summit League,Fort Wayne,Fr,P,,,9,53,13.21,7.55,5.66,0.465,0.472,0.674,0.46,16.98,13.21,4.7
"Armstrong, Walker",Big West,CSUN,Jr,P,,,37,154,12.99,4.55,8.44,0.279,0.325,0.321,0.287,30.52,22.08,3.31
"Arneth, Anthony",Metro Atlantic,Rider,Jr,P,,,11.8,88,6.82,17.05,-10.23,0.348,0.455,0.522,0.416,20.45,23.86,8.4
"Arnold, Austin",Ivy League,Cornell,Jr,P,,,1.4,12,8.33,33.33,-25,0.125,0.417,0.125,0.303,8.33,41.67,10.29
"Arnold, Hayden",Sun Belt,Little Rock,Fr,P,,,13.2,63,26.98,9.52,17.46,0.273,0.349,0.564,0.382,9.52,26.98,6.1
