Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Anderson, Brennon",West Coast,BYU,Sr,2B,,,719,0.32,0.406,0.474,15,0.154,18,22,17.66,11.13,-6.53,0.379,0.382,29,116
"Anderson, Buck",Western Athletic,CSU Bakersfield,Fr,2B,,,63,0.203,0.238,0.203,0,0,2,2,22.22,3.17,-19.05,0.267,0.204,-7,1
"Anderson, Chandler",Pac 12,Utah,Jr,OF,,,388,0.274,0.32,0.36,2,0.086,14,19,12.89,4.9,-7.99,0.312,0.301,-11,36
"Anderson, Chase",Mid-Eastern,Norfolk St.,Jr,INF,,,156,0.217,0.308,0.233,0,0.016,2,2,21.15,12.82,-8.33,0.289,0.261,-10,9
"Anderson, Hunter",Missouri Valley,Southern Ill.,Sr,INF,,,356,0.23,0.301,0.385,11,0.155,5,8,23.88,7.02,-16.86,0.278,0.3,-11,33
"Anderson, Jack",Pac 12,Oregon St.,Sr,OF,,,592,0.276,0.377,0.327,1,0.051,5,9,12.84,12.67,-0.17,0.324,0.327,-4,68
"Anderson, Jay",Southland,Central Ark.,Jr,INF,,,51,0.162,0.333,0.216,0,0.054,1,1,17.65,11.76,-5.89,0.207,0.281,-2,4
"Anderson, Jordan",SEC,Mississippi St.,Fr,OF,,,20,0.313,0.4,0.313,0,0,0,0,10,10,0,0.333,0.325,0,2
"Anderson, Mason",Colonial,Towson,Jr,P,,,1,0,0,0,0,0,0,0,100,0,-100,NA,0,0,0
"Anderson, Matt",Sun Belt,Georgia Southern,So,C,,,265,0.219,0.291,0.301,2,0.082,0,2,24.91,7.92,-16.99,0.297,0.274,-14,19
"Anderson, Nick",Big West,UC Irvine,Sr,P,,,185,0.285,0.362,0.377,3,0.093,0,0,16.76,10.81,-5.95,0.317,0.324,-2,21
"Anderson, Nick",Southland,A&M-Corpus Chris,Jr,OF,,,667,0.267,0.372,0.404,11,0.137,23,30,18.29,9.6,-8.69,0.318,0.343,5,86
