Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Allen, Jake",Ivy League,Harvard,Jr,C,,,17,0.286,0.412,0.286,0,0,0,0,35.29,11.76,-23.53,0.5,0.33,0,2
"Allen, Jojo",OVC,UT Martin,So,INF,,,15,0.067,0.067,0.267,1,0.2,0,0,40,0,-40,0,0.134,-3,-1
"Allen, Jonathan",West Coast,San Francisco,Jr,OF,,,62,0.269,0.377,0.481,3,0.212,2,4,24.19,8.06,-16.13,0.324,0.373,2,10
"Allen, Kobi",West Coast,Pacific,So,OF,,,4,0,0.5,0,0,0,0,0,25,25,0,0,0.353,0,1
"Allen, Logan",Conference USA,FIU,Fr,P,,,40,0.2,0.282,0.286,0,0.086,1,1,30,5,-25,0.304,0.258,-3,2
"Allen, Matt",Big South,Liberty,Sr,C,,,14,0.083,0.143,0.083,0,0,0,0,14.29,0,-14.29,0.091,0.114,-3,-1
"Allen, Tanner",SEC,Mississippi St.,Fr,OF,,,103,0.242,0.287,0.368,1,0.126,0,0,23.3,5.83,-17.47,0.314,0.284,-4,8
"Alley, Trent",Southern,Furman,So,UT,,,1,1,1,2,0,1,0,0,0,0,0,1,1.242,1,1
"Alleyne, Craig",Colonial,Towson,Jr,OF,,,18,0.25,0.294,0.312,0,0.062,1,1,16.67,5.56,-11.11,0.308,0.269,-1,1
"Allocca, Will",ACC,Virginia,So,C,,,5,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
"Allum, Taylor",ASUN,Kennesaw State,Sr,OF,,,18,0.143,0.333,0.143,0,0,0,0,27.78,16.67,-11.11,0.222,0.253,-1,1
"Almendarez, Jacob",Sun Belt,Texas State,Jr,OF,,,32,0.393,0.419,0.464,0,0.071,0,1,12.5,3.13,-9.37,0.44,0.381,1,5
"Altavilla, Angelo",Big 10,Nebraska,Jr,INF,,,73,0.259,0.366,0.328,1,0.069,0,0,17.81,13.7,-4.11,0.304,0.314,-1,8
"Altenberger, Ryan",Big East,Xavier,Fr,INF,,,51,0.239,0.275,0.348,0,0.109,3,3,39.22,3.92,-35.3,0.393,0.266,-3,3
"Alu, Jake",ACC,Boston College,Jr,2B,,,84,0.178,0.247,0.205,0,0.027,1,4,21.43,5.95,-15.48,0.232,0.21,-9,1
"Alvarado, Luis",Big 10,Nebraska,Sr,OF,2018,511,3,0,0.333,0,0,0,0,0,0,33.33,33.33,0,0.23,0,0
"Alvarez, Andres",Pac 12,Washington St.,Jr,INF,,,80,0.304,0.368,0.449,1,0.145,2,3,10,8.75,-1.25,0.333,0.355,1,11
"Alvarez, Danny",ACC,Pittsburgh,Fr,INF,,,4,0,0.25,0,0,0,0,0,0,25,25,0,0.173,-1,0
"Alviarez, Carlos",Mid-Eastern,Coppin St.,Jr,OF,,,13,0.182,0.308,0.182,0,0,0,0,23.08,7.69,-15.39,0.25,0.244,-1,1
"Amanau, Rafael",Atlantic 10,La Salle,Sr,OF,,,5,0.2,0.2,0.2,0,0,0,0,80,0,-80,1,0.176,-1,0
"Amaral, Daniel",Pac 12,UCLA,Jr,OF,2018,414,72,0.305,0.431,0.492,1,0.187,7,7,8.33,13.89,5.56,0.327,0.401,4,13
"Amditis, Michael",ACC,Miami (FL),So,C,,,23,0.25,0.304,0.25,0,0,0,0,26.09,8.7,-17.39,0.333,0.251,-2,1
"Ames, Nick",Mountain West,UNLV,Jr,1B,2018,435,63,0.286,0.349,0.732,7,0.446,0,0,22.22,9.52,-12.7,0.25,0.438,5,13
"Amion, Diandre",Conference USA,FIU,Jr,OF,,,16,0,0.133,0,0,0,0,0,31.25,6.25,-25,0,0.094,-3,-1
"Ammons, Jordan",Southern,Mercer,Fr,OF,,,40,0.324,0.359,0.459,1,0.135,3,3,12.5,5,-7.5,0.355,0.353,1,5
"Ammons, Justin",SEC,Tennessee,So,OF,,,67,0.189,0.358,0.264,0,0.075,4,4,17.91,7.46,-10.45,0.244,0.301,-2,6
"Amos, Alex",ACC,Pittsburgh,So,INF,,,44,0.243,0.349,0.27,0,0.027,1,2,9.09,13.64,4.55,0.273,0.289,-2,4
"Anatasia, Michael",ASUN,NJIT,Jr,OF,,,36,0.172,0.314,0.345,1,0.173,0,0,22.22,13.89,-8.33,0.2,0.298,-1,3
"Anaya, David",Southland,Incarnate Word,So,INF,,,57,0.245,0.316,0.327,1,0.082,5,8,8.77,8.77,0,0.244,0.284,-2,5
"Andersen, Logan",Sun Belt,Arkansas St.,Jr,OF,,,32,0.267,0.312,0.333,0,0.066,1,1,31.25,6.25,-25,0.4,0.285,-1,3
"Anderson, Austin",Mountain West,UNLV,Sr,3B,,,9,0.222,0.222,0.222,0,0,0,0,33.33,0,-33.33,0.333,0.195,-1,0
"Anderson, Ben",Southern,Furman,Fr,OF,,,74,0.3,0.432,0.4,0,0.1,2,3,28.38,16.22,-12.16,0.462,0.374,2,11
"Anderson, Brennon",West Coast,BYU,Sr,2B,,,52,0.261,0.346,0.37,0,0.109,1,2,15.38,11.54,-3.84,0.316,0.317,-1,6
"Anderson, Buck",Western Athletic,CSU Bakersfield,Fr,2B,,,26,0.125,0.16,0.125,0,0,0,0,30.77,3.85,-26.92,0.188,0.133,-4,-1
"Anderson, Chandler",Pac 12,Utah,Jr,OF,,,50,0.196,0.245,0.283,0,0.087,1,1,14,2,-12,0.231,0.235,-4,2
"Anderson, Hunter",Missouri Valley,Southern Ill.,Sr,INF,,,28,0.182,0.321,0.364,1,0.182,1,2,14.29,17.86,3.57,0.167,0.302,-1,3
"Anderson, Jack",Pac 12,Oregon St.,Sr,OF,,,26,0.261,0.346,0.391,0,0.13,0,1,23.08,7.69,-15.39,0.353,0.325,0,3
"Anderson, Jay",Southland,Central Ark.,Jr,INF,,,21,0.385,0.619,0.462,0,0.077,0,0,4.76,19.05,14.29,0.417,0.495,3,5
"Anderson, Jordan",SEC,Mississippi St.,Fr,OF,,,7,0.5,0.429,0.5,0,0,0,0,0,0,0,0.429,0.376,0,1
"Anderson, Matt",Sun Belt,Georgia Southern,So,C,,,45,0.275,0.318,0.4,0,0.125,0,0,28.89,2.22,-26.67,0.393,0.309,-1,5
"Anderson, Nick",Big West,UC Irvine,Sr,P,,,53,0.357,0.453,0.524,2,0.167,0,0,15.09,16.98,1.89,0.382,0.416,4,10
"Anderson, Nick",Southland,A&M-Corpus Chris,Jr,OF,,,50,0.359,0.5,0.538,2,0.179,1,3,10,10,0,0.375,0.454,5,11
"Anderson, Ryan",Big West,UC Davis,Jr,OF,2018,929,45,0.349,0.378,0.512,2,0.163,2,2,11.11,4.44,-6.67,0.361,0.382,2,7
