Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Alvarez, Andrew",Big West,Cal Poly,Fr,P,,,9,51,13.73,19.61,-5.88,0.316,0.451,0.474,0.399,23.53,13.73,5.26
"Alvarez, Daniel",Mid-Eastern,Coppin St.,Jr,P,,,8.2,61,11.48,18.03,-6.55,0.444,0.557,0.6,0.49,9.84,19.67,8.15
"Amador, Willy",Conference USA,Rice,Sr,P,,,88.6,459,16.78,7.63,9.15,0.287,0.357,0.443,0.345,19.39,25.93,4.83
"Ames, Donnie",Missouri Valley,Indiana St.,So,P,,,21.2,109,11.93,4.59,7.34,0.347,0.394,0.51,0.387,18.35,28.44,5.03
"Ammons, Logan",Southland,SFA,So,P,,,15.6,96,13.54,10.42,3.12,0.333,0.427,0.481,0.395,16.67,26.04,5.84
"Amone, Tristan",Metro Atlantic,Fairfield,So,P,,,6.6,47,10.64,19.15,-8.51,0.361,0.468,0.417,0.391,19.15,19.15,5.72
"Anders, Taylor",Southland,Central Ark.,Jr,P,,,12.2,54,25.93,12.96,12.97,0.244,0.37,0.356,0.328,20.37,16.67,3.07
"Anderson, Aidan",Southland,McNeese,Jr,P,,,61.5,314,25.8,10.51,15.29,0.255,0.341,0.393,0.322,16.24,23.25,3.16
"Anderson, Austin",Mountain West,UNLV,Sr,3B,,,15.2,69,13.04,10.14,2.9,0.259,0.348,0.379,0.318,20.29,28.99,3.74
"Anderson, Ben",American East,Binghamton,So,P,,,28.7,126,18.25,8.73,9.52,0.165,0.246,0.284,0.235,21.43,32.54,3.81
"Anderson, Chase",Mid-Eastern,Norfolk St.,Jr,INF,,,138,642,21.96,8.88,13.08,0.266,0.327,0.352,0.295,20.72,19.63,2.7
"Anderson, Cody",Pac 12,Washington St.,Sr,P,,,86.1,401,15.46,6.73,8.73,0.294,0.349,0.415,0.33,26.18,21.2,3.53
"Anderson, Elliott",SEC,Auburn,So,P,,,24.4,124,17.74,8.87,8.87,0.284,0.355,0.376,0.322,26.61,18.55,3.47
