Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Allocca, Will",ACC,Virginia,So,C,,,6,0.2,0.333,0.2,0,0,0,0,50,16.67,-33.33,0.5,0.262,0,0
"Allum, Taylor",ASUN,Kennesaw State,Sr,OF,,,43,0.256,0.326,0.487,2,0.231,0,0,32.56,6.98,-25.58,0.348,0.347,0,6
"Almendarez, Jacob",Sun Belt,Texas State,Jr,OF,,,121,0.215,0.288,0.243,0,0.028,0,0,14.05,6.61,-7.44,0.256,0.246,-9,6
"Altavilla, Angelo",Big 10,Nebraska,Jr,INF,,,129,0.21,0.344,0.362,4,0.152,6,8,10.85,15.5,4.65,0.205,0.317,-2,14
"Altenberger, Ryan",Big East,Xavier,Fr,INF,,,166,0.222,0.321,0.347,3,0.125,9,11,19.28,9.04,-10.24,0.266,0.3,-5,15
"Alu, Jake",ACC,Boston College,Jr,2B,,,120,0.24,0.311,0.375,2,0.135,4,5,12.5,9.17,-3.33,0.256,0.298,-4,11
"Alvarado, Luis",Big 10,Nebraska,Sr,OF,2018,511,13,0.25,0.308,0.25,0,0,0,0,23.08,7.69,-15.39,0.333,0.256,-1,1
"Alvarez, Andres",Pac 12,Washington St.,Jr,INF,,,159,0.243,0.318,0.338,0,0.095,3,3,15.09,8.18,-6.91,0.289,0.291,-6,13
"Alvarez, Danny",ACC,Pittsburgh,Fr,INF,,,10,0,0.5,0,0,0,0,0,30,30,0,0,0.351,0,1
"Alviarez, Carlos",Mid-Eastern,Coppin St.,Jr,OF,,,52,0.333,0.442,0.405,0,0.072,2,2,19.23,13.46,-5.77,0.424,0.378,2,8
"Amanau, Rafael",Atlantic 10,La Salle,Sr,OF,,,35,0.091,0.143,0.152,0,0.061,0,0,57.14,5.71,-51.43,0.231,0.134,-6,-2
"Amaral, Daniel",Pac 12,UCLA,Jr,OF,2018,414,173,0.284,0.426,0.433,2,0.149,6,9,15.61,12.72,-2.89,0.34,0.382,7,28
"Amditis, Michael",ACC,Miami (FL),So,C,,,67,0.217,0.262,0.3,0,0.083,0,0,17.91,4.48,-13.43,0.265,0.247,-5,3
"Ames, Nick",Mountain West,UNLV,Jr,1B,2018,435,191,0.296,0.393,0.585,11,0.289,0,0,26.18,14.66,-11.52,0.353,0.407,12,35
"Amion, Diandre",Conference USA,FIU,Jr,OF,,,57,0.32,0.357,0.42,0,0.1,1,1,14.04,5.26,-8.78,0.364,0.333,0,7
"Ammons, Jordan",Southern,Mercer,Fr,OF,,,42,0.195,0.214,0.195,0,0,2,4,26.19,2.38,-23.81,0.267,0.184,-5,0
"Ammons, Justin",SEC,Tennessee,So,OF,,,182,0.302,0.39,0.421,3,0.119,2,2,13.19,10.99,-2.2,0.341,0.358,4,26
"Amos, Alex",ACC,Pittsburgh,So,INF,,,106,0.256,0.373,0.256,0,0,6,7,22.64,12.26,-10.38,0.355,0.299,-3,10
"Anatasia, Michael",ASUN,NJIT,Jr,OF,,,172,0.243,0.341,0.361,2,0.118,6,7,27.33,12.79,-14.54,0.337,0.311,-3,18
"Anaya, David",Southland,Incarnate Word,So,INF,,,162,0.283,0.398,0.37,1,0.087,0,1,8.64,14.81,6.17,0.297,0.342,1,21
"Andersen, Logan",Sun Belt,Arkansas St.,Jr,OF,,,80,0.181,0.263,0.25,0,0.069,1,2,20,8.75,-11.25,0.232,0.234,-7,3
"Anderson, Austin",Mountain West,UNLV,Sr,3B,,,19,0.062,0.167,0.125,0,0.063,0,0,21.05,5.26,-15.79,0.083,0.147,-3,-1
"Anderson, Ben",Southern,Furman,Fr,OF,,,169,0.387,0.473,0.585,3,0.198,3,9,15.98,13.61,-2.37,0.456,0.448,16,37
"Anderson, Brennon",West Coast,BYU,Sr,2B,,,179,0.285,0.39,0.404,3,0.119,4,5,22.35,12.29,-10.06,0.37,0.353,3,25
"Anderson, Buck",Western Athletic,CSU Bakersfield,Fr,2B,,,37,0.257,0.297,0.257,0,0,2,2,16.22,2.7,-13.52,0.31,0.252,-3,2
"Anderson, Chandler",Pac 12,Utah,Jr,OF,,,142,0.259,0.291,0.363,1,0.104,7,7,15.49,2.11,-13.38,0.304,0.284,-6,11
"Anderson, Hunter",Missouri Valley,Southern Ill.,Sr,INF,,,61,0.229,0.393,0.417,3,0.188,1,2,19.67,14.75,-4.92,0.242,0.363,1,9
"Anderson, Jack",Pac 12,Oregon St.,Sr,OF,,,116,0.289,0.384,0.32,0,0.031,0,0,15.52,10.34,-5.18,0.354,0.323,-1,13
"Anderson, Jay",Southland,Central Ark.,Jr,INF,,,30,0.042,0.143,0.083,0,0.041,1,1,26.67,6.67,-20,0.059,0.119,-5,-2
"Anderson, Jordan",SEC,Mississippi St.,Fr,OF,,,13,0.2,0.385,0.2,0,0,0,0,15.38,15.38,0,0.25,0.297,0,1
"Anderson, Mason",Colonial,Towson,Jr,P,,,1,0,0,0,0,0,0,0,100,0,-100,NA,0,0,0
"Anderson, Matt",Sun Belt,Georgia Southern,So,C,,,131,0.206,0.302,0.308,2,0.102,0,1,24.43,9.92,-14.51,0.263,0.274,-7,9
"Anderson, Nick",Big West,UC Irvine,Sr,P,,,132,0.257,0.328,0.321,1,0.064,0,0,17.42,8.33,-9.09,0.293,0.287,-5,11
"Anderson, Nick",Southland,A&M-Corpus Chris,Jr,OF,,,199,0.264,0.399,0.415,3,0.151,13,14,16.08,11.56,-4.52,0.31,0.362,5,29
"Anderson, Ryan",Big West,UC Davis,Jr,OF,2018,929,192,0.345,0.385,0.503,4,0.158,2,8,14.06,6.25,-7.81,0.385,0.38,7,31
"Anderson, Ryan",Mid-Eastern,Florida A&M,Sr,P,2018,929,1,1,1,1,0,0,0,0,0,0,0,1,0.878,0,1
"Anderson, Tanner",OVC,Jacksonville St.,Fr,OF,,,12,0.125,0.417,0.125,0,0,0,0,25,33.33,8.33,0.2,0.303,0,1
"Ando, Royce",Big 10,Michigan State,Jr,INF,,,33,0.345,0.375,0.379,0,0.034,3,4,12.12,6.06,-6.06,0.385,0.329,0,4
"Andrade, Jedd",Big West,Hawaii,Sr,OF,,,14,0.231,0.231,0.231,0,0,0,0,14.29,0,-14.29,0.273,0.203,-2,0
"Andranovich, Alex",Pac 12,Oregon,Fr,OF,,,3,0,0,0,0,0,0,0,33.33,0,-33.33,0,0,-1,0
"Andreessen, JD",Metro Atlantic,Monmouth,Jr,C,,,119,0.245,0.374,0.457,4,0.212,2,2,18.49,10.08,-8.41,0.275,0.363,3,17
"Andrew, Adam",Big South,Charleston So.,Jr,P,,,21,0.059,0.19,0.059,0,0,2,4,9.52,14.29,4.77,0.063,0.141,-3,-1
"Andrews, Clayton",Big West,Long Beach St.,Jr,OF,2018,515,189,0.306,0.39,0.382,0,0.076,8,13,2.12,10.58,8.46,0.31,0.343,1,24
"Andrews, Mitch",Southland,Lamar,Jr,C,,,18,0.062,0.167,0.062,0,0,0,0,22.22,11.11,-11.11,0.083,0.126,-3,-1
"Andritsos, Chris",SEC,Texas A&M,So,INF,,,113,0.306,0.363,0.551,6,0.245,0,0,23.89,7.96,-15.93,0.348,0.381,4,18
"Andronica, Alex",Big South,Charleston So.,So,INF,,,115,0.206,0.289,0.275,1,0.069,2,3,24.35,10.43,-13.92,0.274,0.257,-8,6
"Angeli, Doug",Colonial,UNCW,Fr,INF,,,81,0.247,0.309,0.315,0,0.068,3,3,30.86,8.64,-22.22,0.367,0.277,-4,6
"Angelini, Nick",Northeast,Bryant,Jr,OF,,,147,0.233,0.338,0.333,2,0.1,9,13,14.29,11.56,-2.73,0.257,0.301,-4,14
"Angstadt, David",Colonial,William & Mary,So,INF,,,13,0.083,0.077,0.167,0,0.084,0,0,61.54,0,-61.54,0.2,0.096,-3,-1
"Anshaw, Tyler",Big South,Campbell,Jr,INF,,,202,0.248,0.366,0.379,3,0.131,8,8,14.36,11.39,-2.97,0.287,0.334,0,24
"Anthes, Nathan",Conference USA,UAB,Fr,C,,,9,0.111,0.111,0.111,0,0,0,0,22.22,0,-22.22,0.143,0.098,-2,-1
"Anthony, Josh",SEC,Auburn,Sr,INF,,,196,0.323,0.415,0.46,4,0.137,5,10,14.8,11.22,-3.58,0.361,0.38,7,31
"Antico, Mike",Big East,St. Johns (NY),So,OF,,,125,0.314,0.403,0.524,5,0.21,8,9,15.2,12,-3.2,0.337,0.395,6,22
"Antoncic, Justin",Big 10,Michigan State,So,INF,,,150,0.248,0.327,0.326,1,0.078,6,10,10,8.67,-1.33,0.265,0.291,-6,13
"Antonetty, Elliot",Southwestern,Jackson St.,So,C,,,8,0.25,0.25,0.25,0,0,0,0,25,0,-25,0.333,0.22,-1,0
"Antonini, Aaron",Conference USA,Middle Tenn,So,C,,,107,0.205,0.336,0.33,3,0.125,1,1,12.15,14.95,2.8,0.205,0.303,-3,10
"Antos, Kyle",Missouri Valley,Bradley,Fr,C,,,29,0.227,0.357,0.364,0,0.137,0,0,31.03,17.24,-13.79,0.357,0.318,0,3
"Aplin, Rhett",ACC,Florida St,Sr,OF,2018,842,174,0.307,0.439,0.394,0,0.087,2,3,18.97,17.24,-1.73,0.396,0.375,6,27
"Aponte, Alejandro",Atlantic 10,George Mason,Jr,INF,,,169,0.269,0.357,0.324,1,0.055,0,1,10.65,11.83,1.18,0.297,0.308,-4,17
"Aponte, Jancarlos",Southwestern,Mississippi Val.,Fr,INF,,,145,0.214,0.275,0.26,0,0.046,2,5,14.48,7.59,-6.89,0.255,0.242,-11,6
"Apostle, Jason",Ivy League,Cornell,Fr,OF,,,69,0.232,0.353,0.321,1,0.089,2,3,27.54,11.59,-15.95,0.324,0.308,-2,7
"Archambo, AJ",Summit League,Oral Roberts,Fr,OF,,,36,0.08,0.294,0.16,0,0.08,0,1,44.44,19.44,-25,0.2,0.237,-3,1
"Arciuolo, Drew",Metro Atlantic,Fairfield,Sr,OF,,,179,0.364,0.447,0.474,1,0.11,10,12,15.08,12.29,-2.79,0.433,0.402,10,32
"Ard, Nolan",Summit League,Western Ill.,Jr,INF,,,9,0.111,0.111,0.111,0,0,0,0,44.44,0,-44.44,0.2,0.098,-2,-1
"Ardito, Zachary",American East,Hartford,So,INF,,,158,0.308,0.325,0.404,0,0.096,6,9,5.7,3.16,-2.54,0.317,0.31,-3,16
"Arenas, Jorge",ASUN,Stetson,So,SS,,,186,0.24,0.296,0.359,3,0.119,8,11,22.04,4.84,-17.2,0.291,0.285,-8,15
"Arias de los Santos, Luis",Northeast,LIU Brooklyn,Jr,INF,,,172,0.25,0.382,0.371,2,0.121,8,10,19.77,15.12,-4.65,0.317,0.34,1,22
"Arias, Bryan",Conference USA,UTSA,Jr,INF,,,185,0.348,0.411,0.567,7,0.219,8,12,21.62,8.65,-12.97,0.42,0.414,12,35
"Armendinger, Matt",Northeast,Fairleigh Dickinson,So,INF,,,27,0.083,0.148,0.083,0,0,1,1,44.44,3.7,-40.74,0.154,0.117,-5,-2
"Armenta, Angelo",Pac 12,Southern Cal,Jr,INF,,,71,0.237,0.352,0.305,1,0.068,0,2,12.68,15.49,2.81,0.26,0.301,-2,7
"Armitage, Reece",Metro Atlantic,Marist,Fr,OF,,,105,0.311,0.404,0.433,1,0.122,1,3,17.14,12.38,-4.76,0.38,0.368,3,16
"Armitage, Robbie",Metro Atlantic,Marist,Fr,INF,,,4,0,0.25,0,0,0,0,0,50,25,-25,0,0.173,-1,0
"Armstrong, Andy",Pac 12,Oregon St.,So,INF,,,63,0.283,0.333,0.509,2,0.226,1,1,11.11,4.76,-6.35,0.295,0.358,1,9
"Armstrong, Sam",ASUN,Jacksonville,Sr,INF,,,212,0.266,0.393,0.422,5,0.156,1,3,25,16.98,-8.02,0.353,0.36,4,30
"Arndorfer, John",ACC,Notre Dame,Fr,OF,,,1,0,0,0,0,0,0,0,100,0,-100,NA,0,0,0
"Arndt, Josh",Ivy League,Cornell,Jr,INF,,,103,0.196,0.233,0.268,1,0.072,2,3,21.36,4.85,-16.51,0.24,0.221,-10,3
"Arnold, Chase",Atlantic 10,La Salle,Sr,1B,,,122,0.23,0.27,0.363,3,0.133,0,0,28.69,4.92,-23.77,0.299,0.273,-6,9
"Arnold, Sean",Southland,Incarnate Word,So,C,,,86,0.258,0.44,0.339,1,0.081,3,5,10.47,16.28,5.81,0.283,0.365,2,13
"Arpan, Chris",West Coast,Portland,So,UT,,,24,0.095,0.208,0.238,1,0.143,0,0,25,12.5,-12.5,0.071,0.207,-3,0
"Arruda, JT",Mountain West,Fresno St.,Fr,INF,,,188,0.309,0.38,0.527,8,0.218,4,4,17.02,10.11,-6.91,0.339,0.385,8,31
"Artigues, Jonathon",AAC,Tulane,So,INF,,,177,0.311,0.409,0.417,1,0.106,7,9,23.16,7.91,-15.25,0.422,0.368,5,27
"Artis, D.J.",Big South,Liberty,Jr,OF,2018,218,192,0.262,0.453,0.355,0,0.093,18,19,17.71,20.83,3.12,0.343,0.375,6,30
"Artz, Jake",Atlantic 10,Saint Josephs,Fr,OF,,,55,0.128,0.255,0.17,0,0.042,1,1,23.64,14.55,-9.09,0.176,0.21,-6,1
"Asbill, Josh",Big South,Charleston So.,Fr,INF,,,45,0.147,0.326,0.176,0,0.029,0,0,37.78,17.78,-20,0.294,0.256,-3,2
"Asher, Brooks",Big 12,Kansas,So,C,,,10,0.4,0.4,0.4,0,0,0,0,30,0,-30,0.571,0.351,0,1
"Ashford, Zach",Mountain West,Fresno St.,Jr,OF,,,188,0.372,0.419,0.523,2,0.151,6,9,5.85,6.38,0.53,0.39,0.405,11,34
